Site Name ,Alt name or num ,Country ,Y ,X ,Refrences ,14C,Bot ,Zoo
Alibori Sill,,Benin,11.95,3.22,(Champion and Fuller 2018; Fuller and Stevens 2018),,yes,
Birnin Lafiya,alt spelling: Birni Lafia,Benin,11.97,3.22,(Champion and Fuller 2018; Fuller and Stevens 2018; Haour et al. 2016),yes,yes, 
Bogo-Bogo,,Benin,12.1,3.1,(Champion and Fuller 2018; Moga 2008),,yes, 
DO 00,,Benin,6.44,2.58,(Clist 2005),yes,, 
GOHO.00,,Benin,6.53,2.38,(Clist 2005),yes,, 
Goroberi,,Benin,11.94,3.23,(Clist 2005),,yes, 
Guene zeno,,Benin,11.73,3.21,(Moga 2008),,yes, 
Kantoro,,Benin,11.81,3.22,(Champion and Fuller 2018; Fuller and Stevens 2018),,yes, 
Kargui,,Benin,11.94,3.23,(Moga 2008),,yes, 
Kompa Dune,,Benin,12.24,3.01,(De Maret 1985a),yes,, 
Kompa Moussékoubou ,,Benin,12.24,3.01,(Robion-Brunner et al. 2015),yes,, 
Kozungu,SI and SII,Benin,11.98,3.23,(Moga 2008),,yes, 
Madekali,,Benin,11.7,3.55,(Moga 2008),,yes, 
Madekali Road,,Benin,11.7,3.55,(Champion and Fuller 2018; Fuller and Stevens 2018),,yes, 
Pekinga,,Benin,12.35,2.85,(Moga 2008),,yes, 
Tannou,,Benin,6.39,2.3,(Clist 2005),,, 
Tintin,,Benin,12.12,3.14,(Champion and Fuller 2018),,yes, 
YEV-1,,Benin,6.61,2.6,(Clist 2005),yes,, 
Kawara,,Burkina Faso,10.63,-5.25,(Linseele 2007),yes,, 
Batenga,,BurkinaFaso,12.83,-1.37,(Huysecom et al. 2014),yes,, 
Bena,Bwamu (Banwa?),BurkinaFaso,12.07,-4.18,(Dupré and Pinçon 1997),,, 
Corcoba,BF 97/5,BurkinaFaso,14.69,-0.47,(Breunig and Neumann 2002; Linseele 2007; Linseele 2010),yes,yes,yes 
Diekono,,BurkinaFaso,12.62,-3.36,(Schwartz et al. 1991),,, 
Dori 94/40,BF 94/40,BurkinaFaso,14.07,-0.02,(Breunig and Neumann 2002; Linseele 2007; Linseele 2010),yes,yes,yes
Dori 94/96,BF 94/96,BurkinaFaso,14.06,-0.02,(Breunig and Neumann 2002; Linseele 2007; Linseele 2010),yes,yes,yes
Fadar,BF 96/40,BurkinaFaso,15.02,-0.68,(Breunig and Neumann 2002; Dupré and Pinçon 1997),yes,, 
Kaya,,BurkinaFaso,13.1,-1.09,(Oslisly 1993),,, 
Kerebe Sira Tomo,Kebe Sira Kan Tomo,BurkinaFaso,12.61,-3.34,(Holl 2009b),yes,, 
Kirikongo,,BurkinaFaso,12.55,-3.36,(Dueppen 2008; Dueppen 2011; Dueppen 2012; Gallagher 2010),yes,yes,yes
Kissi 14,,BurkinaFaso,14.66,-0.13,(Clist 2005),yes,, 
Kissi 22,BF 96/22,BurkinaFaso,14.67,-0.14,(Breunig and Neumann 2002; Kahlheber 2004; Linseele 2007; Linseele 2010),yes,yes,yes
Kissi 3,BF 96/3,BurkinaFaso,14.65,-0.15,(Breunig and Neumann 2002; Linseele 2007),yes,yes, 
Kissi 40,BF 97/31,BurkinaFaso,14.66,-0.13,(Breunig and Neumann 2002; Höhn and Neumann 2012; Linseele 2007; Linseele 2010),yes,yes,yes 
Kissi-49,,BurkinaFaso,14.65,-0.15,(Linseele 2007),yes,, 
Kolèl Nord,BF96/23,BurkinaFaso,14.6,-0.44,(Breunig and Neumann 2002; Champion and Fuller 2018; Fuller and Stevens 2018; Höhn and Neumann 2012),yes,yes, 
Korsimoro,,BurkinaFaso,12.83,-1.07,(Oslisly 1993),,, 
Maadaga,,BurkinaFaso,11.83,1.78,(Dueppen and Gallagher 2013; Gallagher 2010; Linseele 2007),yes,, 
MAS502,,BurkinaFaso,11.63,1.8,(Dueppen and Gallagher 2013),,yes,yes
MAS541,,BurkinaFaso,11.66,1.79,(Dueppen and Gallagher 2013),,yes,yes
Nimpoui,,BurkinaFaso,12.85,-1.28,(Huysecom et al. 2014),yes,, 
Oursi,BF 94/45,BurkinaFaso,14.69,-0.47,(Breunig and Neumann 2002; Höhn and Neumann 2012; Kahlheber 2004; Linseele 2007; Linseele 2010),yes,yes,yes
Oursi 1 ,BF 97/26,BurkinaFaso,14.64,-0.47,(Breunig and Neumann 2002; Höhn and Neumann 2012),yes,yes, 
Oursi 2 ,BF 97/27,BurkinaFaso,14.64,-0.47,(Breunig and Neumann 2002; Höhn and Neumann 2012),yes,yes, 
Oursi 3 ,BF 97/28,BurkinaFaso,14.64,-0.47,(Breunig and Neumann 2002; Höhn and Neumann 2012),yes,yes, 
Oursi 4 ,BF 97/29,BurkinaFaso,14.64,-0.47,(Breunig and Neumann 2002; Höhn and Neumann 2012),yes,yes, 
Oursi hu-beero,BF 97/30,BurkinaFaso,14.69,-0.47,(Linseele 2007; Linseele 2010),yes,yes,yes
Oursi Ost (Champs d'Oursi),BF 97/25,BurkinaFaso,14.65,-0.41,(Breunig and Neumann 2002; Höhn and Neumann 2012),yes,yes, 
Oursi village,BF 97/13,BurkinaFaso,14.69,-0.46,(Breunig and Neumann 2002; Kahlheber 2004; Linseele 2007; Linseele 2010),yes,yes,yes
Péntènga,89/1,BurkinaFaso,11.81,1.78,(Dueppen and Gallagher 2013; Gallagher 2010; Linseele 2007),yes,,yes
Rim,,BurkinaFaso,13.49,-3.02,(Andah 1978; Calvocoressi and David 1979),yes,yes, 
Saouga A,BF 94/120,BurkinaFaso,14.37,-0.14,(Breunig and Neumann 2002; Höhn and Neumann 2012; Kahlheber 2004; Linseele 2010),yes,yes,yes 
Saouga B,BF 95/7,BurkinaFaso,14.37,-0.14,(Breunig and Neumann 2002; Höhn and Neumann 2012; Kahlheber 2004; Linseele 2010),yes,yes,yes 
Sidigo,,BurkinaFaso,12.82,-1.39,(Huysecom et al. 2014),yes,, 
Sirkangou ,BF 96/17,BurkinaFaso,14.3,-0.07,(Kahlheber 2004),yes,yes, 
Tin Akof,BF 94/133,BurkinaFaso,14.96,-0.14,(Breunig and Neumann 2002; Kahlheber 2004; Linseele 2007; Linseele 2010),yes,yes,yes
Tora Sira Tomo,,BurkinaFaso,12.59,-3.37,(Holl 2009b),yes,, 
Wairegaigu,,BurkinaFaso,14.65,0.16,(Calvocoressi and David 1979),yes,, 
Yamane,Yamané,BurkinaFaso,12.82,-1.3,(Huysecom et al. 2014),yes,, 
Abang Minko'o,,Cameroon,2.32,11.43,(Neumann et al. 2012; Ngomanda et al. 2009; Oslisly et al. 2013; Ozainne et al. 2014),yes,yes,
Abeke,,Cameroon,5.87,10.04,(De Maret 1982; De Maret 1992; Delneuf et al. 1998),yes,,
Adoumri,,Cameroon,9.27,13.76,(Delneuf et al. 1998),,,
Aissa Dugjé,Site 642,Cameroon,11.18,14.27,(Linseele 2007; MacEachern 2012a),yes,, 
Akak 1    ,,Cameroon,5.51,9.37,(De Maret 1985a; Oslisly et al. 2013; Oslisly et al. 2000),yes,,
Akok begnat 2,,Cameroon,2.4,10.05,(Oslisly et al. 2013; Oslisly and Mbida 2001),yes,,
Akonetye,,Cameroon,2.47,11.17,(Meister 2010; Meister and Eggert 2008; Neumann et al. 2012; Ngomanda et al. 2009; Oslisly et al. 2013; Ozainne et al. 2014),yes,yes,
Amachita,,Cameroon,12,14.97,(Holl 2002),,, 
Angon II,ECA-226,Cameroon,3.78,11.38,(Lavachery et al. 2010),,,
Angon II,ECA-230,Cameroon,3.77,11.38,(Lavachery et al. 2010),,,
Angonfeme,ECA-196,Cameroon,3.39,11.11,(Lavachery et al. 2010),,,
Avoh,,Cameroon,4.3,11.19,(Delneuf et al. 1998; Elouga 1998; Oslisly et al. 2013),yes,yes,
Bagofit,,Cameroon,4,13.12,(Meyer et al. 2009; Oslisly et al. 2013),yes,,
Baleng,,Cameroon,5.5,10.4,(De Maret 1985a; De Maret 1992; Delneuf et al. 1998; Oslisly et al. 2013),yes,,
Bali River,Bali River 1 and 2,Cameroon,3.75,14.8,(Morin-Rivat et al. 2014; Oslisly et al. 2013),yes,,
Bambo,ECA-111,Cameroon,5.06,13.37,(Lavachery et al. 2010),,,
Bambo,ECA-113,Cameroon,5.06,13.37,(Lavachery et al. 2010),,,
Bambo,ECA-115,Cameroon,5.07,13.38,(Lavachery et al. 2010),,,
Bandewouri,,Cameroon,3.06,10.18,(Oslisly et al. 2013; Oslisly et al. 2000),yes,,
Bankouop,,Cameroon,5.63,10.58,(Calvocoressi and David 1979; Delneuf et al. 1998; Lanfranchi and Clist 1991; Oslisly et al. 2013),yes,,
BE-Butte I/TR A,,Cameroon,9.32,13.68,(Delneuf et al. 1998; Lanfranchi and Clist 1991),yes,,
BE-Butte I/TR B,,Cameroon,9.32,13.7,(Delneuf et al. 1998; Lanfranchi and Clist 1991),yes,,yes
Beka Petel,ECA-245,Cameroon,6.76,14.41,(Lavachery et al. 2010; Oslisly et al. 2013),,,
Beka Petel,ECA-241,Cameroon,6.78,14.43,(Lavachery et al. 2010; Oslisly et al. 2013),,,
Beka Petel (Gamboro),ECA 243; initially classified as ECA-401,Cameroon,6.77,14.42,(Lavachery et al. 2005; Lavachery et al. 2010),yes,,
Belabo SOCOPAO,ECA-119,Cameroon,4.91,13.31,(Lavachery et al. 2010),,,
Bemboyo ,ECA-24,Cameroon,7.31,15.18,(Lavachery et al. 2005; Lavachery et al. 2010),yes,,
Bibalé Tchuin,,Cameroon,10.04,14.45,(Langlois 1998),yes,yes,
Bidjocka,ECA-134,Cameroon,3.12,10.49,(Lavachery et al. 2010),,,
Bidjocka,ECA-136,Cameroon,3.17,10.54,(Lavachery et al. 2010),,,
Bidjouka,ECA-160,Cameroon,3.13,10.5,(De Maret 1992; Delneuf et al. 1998; Lavachery et al. 2005; Oslisly et al. 2013),yes,,
Bidou II,ECA-146,Cameroon,3.03,10.08,(Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Bifoum,ECA-154,Cameroon,3.07,10.38,(Lavachery et al. 2010),,,
Bikoka,ECA-182,Cameroon,3.2,10.58,(Lavachery et al. 2010),,,
Bikoka,ECA-208,Cameroon,3.27,10.73,(Lavachery et al. 2010),,,
Bikoto,ECA-321,Cameroon,4.49,11.98,(Lavachery et al. 2010),,,
Bikoue I,ECA-174,Cameroon,3.33,10.86,(Lavachery et al. 2010),,,
Bikoue I,ECA-172,Cameroon,3.33,10.86,(Lavachery et al. 2010),,,
Bikoue II Rockshelter,ECA-192,Cameroon,3.33,10.88,(Lavachery et al. 2010),,,
Bikoue-Si,ECA-176,Cameroon,3.33,10.86,(Lavachery et al. 2010),,,
Bikoue-Si,ECA-184,Cameroon,3.33,10.87,(Lavachery et al. 2010),,,
Bikoue-Si,ECA-186,Cameroon,3.33,10.88,(Lavachery et al. 2010),,,
Bikoue-Si,ECA-188,Cameroon,3.33,10.88,(Lavachery et al. 2010),,,
Binguela 2,ECA-228,Cameroon,3.74,11.37,(Lavachery et al. 2005; Oslisly et al. 2013),yes,,
Biombe,ECA-102,Cameroon,4.98,13.33,(Lavachery et al. 2010),,,
Biombe,ECA-129,Cameroon,4.98,13.33,(Lavachery et al. 2010),,,
Biombe (PS3),ECA-101,Cameroon,4.94,13.32,(Clist 2005; Lavachery et al. 2010) ,,,
Bissiang,ECA-138,Cameroon,3,10.02,(Lavachery et al. 2005; Lavachery et al. 2010),yes,,
Blabli,,Cameroon,11.22,14.2,(Lanfranchi and Clist 1991; Linseele 2007),yes,,yes 
Blé A,,Cameroon,11.98,15,(Holl 2002; Linseele 2007),yes,,yes
Blé B,,Cameroon,11.98,15,(Holl 2002; Linseele 2007),yes,,yes
Blé C,,Cameroon,11.98,15,(Holl 2002; Linseele 2007),yes,,yes
Blé E,,Cameroon,11.98,15,(Holl 2002; Linseele 2007),yes,,yes
Blé Mound D,,Cameroon,11.98,15,(Holl 2002; Kahlheber 2004),yes,, 
Bolo Bai,,Cameroon,2.17,15.72,"Meister, C., Unpublished data (Oslisly et al. 2013)",yes,,
Boulou River,,Cameroon,1.95,15.79,(Morin-Rivat et al. 2014),yes,yes, 
Boussibiliga 1,,Cameroon,2.74,9.88,(Oslisly et al. 2013; Oslisly and Mbida 2001),yes,,
Bwambé,,Cameroon,2.93,9.91,(Neumann et al. 2012; Ngomanda et al. 2009; Nlend Nlend 2002; Oslisly and Mbida 2001; Ozainne et al. 2014),yes,yes,
Campo,,Cameroon,2.38,9.83,(De Maret 1985b; Linseele 2007; Meister 2010; Meister and Eggert 2008),yes,yes,
Campo 1,,Cameroon,2.38,9.83,(Nlend Nlend 2002; Oslisly et al. 2013),yes,,
Campo beach,,Cameroon,2.33,9.82,(De Maret 1992; Delneuf et al. 1998; Lanfranchi and Clist 1991),yes,,
Campo Center,,Cameroon,2.33,9.85,(Meister 2010),yes,,
Campo Eglise,,Cameroon,2.38,9.83,(Meister 2010),yes,,
Dang-patou,ECA-213,Cameroon,5.87,13.81,(Lavachery et al. 2010),,,
Deguesse,,Cameroon,12.09,14.94,(Holl 2002; Linseele 2007),yes,, 
DGB-1,Kuva,Cameroon,10.91,13.82,(MacEachern 2012a; MacEachern et al. 2010),yes,, 
DGB-2,Kuva,Cameroon,10.93,13.81,(MacEachern 2012a),yes,, 
DGB-8,Mtskar,Cameroon,10.91,13.83,(MacEachern 2012a),yes,, 
Dibamba,,Cameroon,4,9.82,(Oslisly et al. 2013),yes,,
Djaoro Mbama,ECA 047,Cameroon,7.09,14.74,(Lavachery et al. 2005; Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Djembé  ,,Cameroon,2.18,16.07,(Oslisly et al. 2013),yes,,
Djobemou,,Cameroon,5.81,11.3,(Delneuf et al. 2003),,,
Dokwaza,,Cameroon,10.72,13.99,(Clist 2005),,, 
Dombé,ECA-130,Cameroon,2.96,9.95,(Lavachery et al. 2005; Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Douafo,ECA-217,Cameroon,5.96,13.88,(Lavachery et al. 2010),,,
Doulo 4,Site 678,Cameroon,11.11,14.17,(MacEachern 2012a),yes,, 
Doulo Chefferie,Site 635,Cameroon,11.13,14.17,(MacEachern 2012a),yes,, 
Doulo Igzawa 1,PMW 636,Cameroon,11.12,14.17,(Holl 2009b; MacEachern 1996; MacEachern 2012a),yes,,yes
Douloumi,,Cameroon,9.2,13.45,(Delneuf et al. 1998; Lanfranchi and Clist 1991),yes,,yes
Doumba,ECA 329,Cameroon,4.58,13.12,(Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Ebaka,ECA-106,Cameroon,4.95,13.32,(Lavachery et al. 2010),,,
Ebaka,ECA-123,Cameroon,4.95,13.32,(Linseele 2007); ,,,
Ebaka,ECA-121,Cameroon,4.95,13.32,(Lavachery et al. 2010),,,
Ebot,ECA-260,Cameroon,3.98,11.47,(Lavachery et al. 2010),,,
Ebot,ECA-262,Cameroon,3.98,11.47,(Lavachery et al. 2010),,,
Eboundja 3,,Cameroon,2.79,9.89,(Nlend Nlend 2002; Oslisly et al. 2013),yes,,
Ekabita,ECA-232,Cameroon,4.05,11.52,(Lavachery et al. 2010),,,
Ekak,,Cameroon,4,11.42,(Oslisly et al. 2013),yes,,
Elig Kono,,Cameroon,3.84,10.16,(Delneuf et al. 1998; Elouga 1998),yes,,
Elig Mebenga,ECA-273,Cameroon,3.72,11.37,(Lavachery et al. 2010),,,
Essong Missang,ECA-248,Cameroon,4.09,11.58,(Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Ewani 1 ,,Cameroon,5.21,9.44,(Lanfranchi and Clist 1991; Oslisly et al. 2013; Oslisly et al. 2000),yes,,
Ewani 6,,Cameroon,5.19,9.43,(Oslisly et al. 2013; Oslisly et al. 2000),yes,,
Ewani 7   ,,Cameroon,5.2,9.41,(Oslisly et al. 2013; Oslisly et al. 2000),yes,,
Ewani 9   ,,Cameroon,5.22,9.45,(Oslisly et al. 2013; Oslisly et al. 2000),yes,,
Ewankang,ECA-93,Cameroon,4.8,12.85,(De Maret 1985a; Lavachery et al. 2010),yes,,
Ezezang,ECA-272,Cameroon,4.03,11.5,(Lavachery et al. 2005; Oslisly et al. 2013),yes,,
Fiye Nkwi,,Cameroon,5.92,10.08,(Assombang 1998; Delneuf et al. 1998),yes,,
Fundong,,Cameroon,6.38,10.28,(De Maret 1985b; De Maret 1992; Delneuf et al. 1998; Oslisly et al. 2013),yes,,
Gba,,Cameroon,5.5,11.42,(Delneuf et al. 2003; Oslisly et al. 2013),yes,yes,
Goray,,Cameroon,10.5,14.5,(De Maret 1985b; Delneuf et al. 1998),yes,,
Goyoum,ECA-151,Cameroon,5.2,13.39,(Lavachery et al. 2010),,,
Goyoum,ECA-149,Cameroon,5.19,13.39,(Lavachery et al. 2010),,,
Grand Zambi,ECA-152,Cameroon,3.06,10.28,(Lavachery et al. 2010),,,
Grand Zambi,ECA-150,Cameroon,3.07,10.29,(Lavachery et al. 2010),,,
Grand Zambi,ECA-166,Cameroon,3.07,10.33,(Lavachery et al. 2010),,,
Gréa Twin Peaks,Site 618,Cameroon,11.21,14.04,(MacEachern 2012a),yes,, 
Groumoui,,Cameroon,10.07,14.04,(Delneuf et al. 1998),yes,,
Hamei,,Cameroon,12.07,14.93,(Holl 2002),yes,, 
Hosséré-Djaba,,Cameroon,8.56,13.72,(Linseele 2007),yes,, 
Houlouf,,Cameroon,12.06,14.91,(Holl 2002; Linseele 2007),yes,, 
Kimisso,,Cameroon,6.3,11.3,(Delneuf et al. 2003),,yes,
Koampboer,ECA-170,Cameroon,3.33,10.87,(Lavachery et al. 2010),,,
Kokobuma 1 ,,Cameroon,5.44,9.66,(Oslisly et al. 2013; Oslisly et al. 2000),yes,,
Koleya,ECA-400,Cameroon,6.77,14.42,(Lavachery et al. 2010),,,
Konde,ECA-229,Cameroon,6.22,14.07,(Lavachery et al. 2010),,,
Kondengui,ECA-319,Cameroon,4.48,11.94,(Lavachery et al. 2010),,,
Kong,,Cameroon,5.61,12.06,(Delneuf et al. 2003; Oslisly et al. 2013),yes,yes,
Kongolo,ECA-227,Cameroon,6.15,14.02,(Lavachery et al. 2010),,,
Koukony,ECA-86,Cameroon,4.84,13.04,(Lavachery et al. 2010),,,
Koukony,ECA-105,Cameroon,4.84,13.04,(Lavachery et al. 2010),,,
Koukony,ECA-85,Cameroon,4.84,13.04,(Dupré and Pinçon 1997; Lavachery et al. 2010),,,
Koukony,ECA-84,Cameroon,4.85,13.06,(Dupré and Pinçon 1997; Lavachery et al. 2005; Lavachery et al. 2010),yes,,
Koukony,ECA-87,Cameroon,4.85,13.07,(Lavachery et al. 2010),,,
Koukony,ECA-104,Cameroon,4.86,13.11,(Clist 2005; Lavachery et al. 2010),,,
Kpwé-Monekpwé,,Cameroon,2.8,11.3,(Oslisly et al. 2013),yes,,
Krenak,,Cameroon,12.03,14.98,(Holl 2002; Linseele 2007),yes,, 
Krenak-Sao,,Cameroon,11.98,15.01,(Holl 2002; Linseele 2007),yes,, 
Kribi,,Cameroon,2.9,9.91,(De Maret 1992; Delneuf et al. 1998; Oslisly et al. 2013),yes,,
Kribi Hôtel,,Cameroon,2.93,9.9,(Nlend Nlend 2002; Oslisly et al. 2013),yes,,
Langui-Tchéboua,,Cameroon,9.32,13.62,(Huysecom et al. 2014),yes,, 
Leboudi,ECA-283,Cameroon,3.91,11.41,(Lavachery et al. 2010),,,
Leboudi,ECA-250,Cameroon,3.92,11.42,(Dupré and Pinçon 1997; Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Lesouaka,ECA-265,Cameroon,6.97,14.58,(Lavachery et al. 2010),,,
Lobe,,Cameroon,2.88,9.9,(De Maret 1992; Delneuf et al. 1998),yes,,
Lobethal,,Cameroon,3.6,9.7,(Oslisly et al. 2013),yes,,
Lom 1,,Cameroon,5.34,13.41,(Oslisly et al. 2013),yes,,
Lom I,ECA-175,Cameroon,5.35,13.4,(Lavachery et al. 2010),,,
Lom I,ECA-177,Cameroon,5.36,13.41,(Lavachery et al. 2010),,,
Lom I,ECA-181,Cameroon,5.39,13.45,(Lavachery et al. 2010),,,
Lom I,ECA-161,Cameroon,5.4,13.48,(Lavachery et al. 2010),,,
Lom I,ECA-163,Cameroon,5.4,13.49,(Lavachery et al. 2010),,,
Lom I,ECA-185,Cameroon,5.45,13.54,(Lavachery et al. 2010),,,
Lom I,ECA-189,Cameroon,5.5,13.56,(Lavachery et al. 2010),,,
Lom I,ECA-187,Cameroon,5.47,13.56,(Lavachery et al. 2010),,,
Lom II,ECA-155,Cameroon,5.28,13.38,(Lavachery et al. 2010),,,
Lom II,ECA-157,Cameroon,5.29,13.39,(Lavachery et al. 2010),,,
Lus,,Cameroon,6.68,10.96,(De Maret 1992; Delneuf et al. 1998; Oslisly et al. 2013),yes,,
Mabele,ECA-223,Cameroon,5.97,13.89,(Lavachery et al. 2010),,,
Madaf,,Cameroon,12.05,14.91,(Holl 2002),yes,, 
Mafa,,Cameroon,10.52,13.61,(Clist 2005),,, 
Makalaya,,Cameroon,3.18,13.75,(Morin-Rivat et al. 2014),yes,yes, 
Makouré,ECA-124,Cameroon,3.06,10.17,(Lavachery et al. 2005; Lavachery et al. 2010; Oslisly 1993; Oslisly et al. 2013),yes,,
Malapa,,Cameroon,2,15.42,(Oslisly 1993; Oslisly et al. 2013),yes,,
Malongo 1,,Cameroon,2.73,9.87,(Nlend Nlend 2002; Oslisly et al. 2013),yes,,
Mameli 1 ,,Cameroon,5.15,9.33,(Oslisly et al. 2013; Oslisly et al. 2000),yes,,
Mampang,,Cameroon,4,13.12,(Meyer et al. 2009; Oslisly et al. 2013),yes,,
Manaouatchi-Grea,PMW 602,Cameroon,11.21,14.03,(Delneuf et al. 1998; MacEachern 1996; MacEachern 2012a),yes,,
Mararaba,ECA-201,Cameroon,5.64,13.72,(Lavachery et al. 2010),,,
Mararaba,ECA-207,Cameroon,5.8,13.81,(Lavachery et al. 2010),,,
Mayo Wodeo,,Cameroon,8.46,12.46,(Delneuf et al. 1998),yes,,
Mbaibou,ECA-3,Cameroon,7.56,15.52,(Lavachery et al. 2010),,,
Mbaki,ECA-133,Cameroon,5.16,13.39,(Lavachery et al. 2010),,,
Mbaki,ECA-135,Cameroon,5.14,13.4,(Lavachery et al. 2010),,,
Mbarang,ECA-239,Cameroon,6.66,14.36,(Lavachery et al. 2010),,,
Mbengue,,Cameroon,3.28,10.98,(D’Andrea et al. 2006; De Maret 1985b; De Maret 1992; Delneuf et al. 1998; Oslisly et al. 2013),yes,yes,
Mbi crater,,Cameroon,5.9,10.05,(Assombang 1998; Delneuf et al. 1998),yes,yes,yes
Mbikiliki,ECA-158,Cameroon,3.17,10.54,(Lavachery et al. 2010),,,
Mbikiliki,ECA-168,Cameroon,3.18,10.55,(Lavachery et al. 2010),,,
Mbinang,ECA-79,Cameroon,4.88,13.18,(De Maret 1985a; Lavachery et al. 2010; Moga 2008),,,
Mbinang,ECA-81,Cameroon,4.88,13.19,(Atherton 1972; Lavachery et al. 2010),,,
Mbinang,ECA-80,Cameroon,4.88,13.19,(Lavachery et al. 2010),,,
Mbirijom,1 and 2,Cameroon,6.39,11.39,(Delneuf et al. 2003; Oslisly et al. 2013),yes,yes,
Mbol,,Cameroon,3.55,14.97,(Morin-Rivat et al. 2014),yes,, 
Mbong,ECA-15,Cameroon,7.39,15.3,(Lavachery et al. 2010),,,
Mehe Djiddere,site 523,Cameroon,11.07,14.32,(David and MacEachern 1988; Lanfranchi and Clist 1991; MacEachern 2012a),yes,,
Messok 1,,Cameroon,3.17,13.75,(Morin-Rivat 2017; Morin-Rivat et al. 2014),yes,, 
Messok 2,,Cameroon,3.17,13.76,(Morin-Rivat 2017; Morin-Rivat et al. 2014),yes,yes, 
Messok 3,,Cameroon,3.17,13.75,(Morin-Rivat 2017; Morin-Rivat et al. 2014; Oslisly et al. 2013),yes,,
Meyang,ECA 335,Cameroon,4.78,12.69,(Lavachery et al. 2005; Oslisly et al. 2013),yes,,
Mfomakap,,Cameroon,4.11,11.5,(Delneuf et al. 1998; Elouga 1998; Oslisly et al. 2013),yes,yes, 
Mikan I,ECA-194,Cameroon,3.33,10.91,(Lavachery et al. 2010),,,
Mimboman,,Cameroon,3.85,11.53,(Claes 1992; Delneuf et al. 1998; Oslisly et al. 2013),yes,,
Mindourou 1,,Cameroon,3.56,14.42,(Morin-Rivat et al. 2014; Oslisly et al. 2013),yes,yes,
Mindourou 2,,Cameroon,3.56,14.42,(Morin-Rivat et al. 2014),yes,yes, 
Minkan I,ECA-200,Cameroon,3.34,10.92,(Lavachery et al. 2010),,,
Mintyaminyoumin,,Cameroon,2.89,12.14,(Eggert 2014; Kahlheber et al. 2014),yes,yes,
Minyin,,Cameroon,2.63,11.57,(Meister and Eggert 2008; Neumann et al. 2012; Ngomanda et al. 2009; Oslisly et al. 2013; Ozainne et al. 2014),yes,yes,
Mishiskwa,,Cameroon,11.97,14.96,(Holl 2002; Linseele 2007),yes,, 
Mokounounou 1a,,Cameroon,1.95,15.35,"Meister, C., Unpublished data",yes,,
Mongossi,,Cameroon,11.03,14.83,(Delneuf et al. 1998; Linseele 2007),yes,,
Mouanko-Epolo,,Cameroon,3.64,9.78,(Meister 2010),yes,,
Mouanko-Loberthal,,Cameroon,3.65,9.91,(Meister 2010),yes,,
Moundour,,Cameroon,10.7,14.3,(Delneuf et al. 1998),yes,,
Mowo,,Cameroon,10.57,14.05,(Delneuf et al. 1998),yes,,
Mpoengu,,Cameroon,2.94,9.91,(Meister 2010),yes,,
Mvile,ECA-180,Cameroon,3.21,10.59,(Lavachery et al. 2010),,,
Mvile,ECA-178,Cameroon,3.22,10.6,(Lavachery et al. 2010),,,
Mvog Dzigui,ECA-291,Cameroon,4.02,11.49,(Lavachery et al. 2010),,,
Mvomdoumba,ECA-299,Cameroon,4.21,11.68,(Lavachery et al. 2010),,,
Nanga Eboko,ECA 333,Cameroon,4.65,12.39,(De Maret 1992; Delneuf et al. 1998; Lavachery et al. 2005; Oslisly et al. 2013),yes,,
Nangarou,ECA-263,Cameroon,6.96,14.57,(Lavachery et al. 2010),,,
Nassarao,Nassarao-I,Cameroon,9.35,13.45,(Delneuf et al. 1998),,,
Ndama,,Cameroon,3.64,14.46,(Morin-Rivat et al. 2014; Oslisly et al. 2013),yes,yes,
Ndamboura,ECA-237,Cameroon,6.59,14.3,(Lavachery et al. 2010),,,
Ndamboura,ECA-404,Cameroon,6.62,14.33,(Lavachery et al. 2010),,,
Ndangayé Bai,,Cameroon,2.38,15.8,"Meister, C., Unpublished data",yes,,
Ndindan,,Cameroon,3.9,11.5,(De Maret 1985b; Delneuf et al. 1998; Mbida 1992),yes,yes,
Nditam Mosquée,,Cameroon,5.33,11.33,(Delneuf 1996; Delneuf et al. 1998; Delneuf et al. 2003),yes,,
Ndjore,ECA-309,Cameroon,4.37,11.8,(Lavachery et al. 2010),,,
Ndjore,ECA-311,Cameroon,4.38,11.81,(Lavachery et al. 2010),,,
Ndjore,ECA 315,Cameroon,4.4,11.83,(Lavachery et al. 2005; Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Ndokoa,ECA 317,Cameroon,4.44,11.86,(Lavachery et al. 2010; Oslisly et al. 2013),yes,, 
Ndoumba Kanga,ECA-73,Cameroon,4.89,13.24,(Lavachery et al. 2010),,,
Ndoumba Kanga,ECA-74,Cameroon,4.89,13.25,(Lavachery et al. 2010),,,
Ndoumba Kanga,ECA-117,Cameroon,4.9,13.26,(Lavachery et al. 2010),,,
Ndtoua,ECA-68,Cameroon,3.06,10.22,(Lavachery et al. 2005; Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Ndtoua,ECA-144,Cameroon,3.06,10.27,(Lavachery et al. 2010),,,
Ndtoua,ECA-162,Cameroon,3.07,10.28,(Lavachery et al. 2010),,,
